code,device,anon
1,PC,1
2,PC,1
3,PC,1
4,PC,1
5,PC,1
6,PC,1
7,PC,1
8,PC,1
9,PC,1
10,PC,1
11,PC,1
12,PC,1
13,PC,1
14,PC,1
15,PC,1
16,PC,1
17,PC,1
18,PC,1
19,PC,1
20,PC,1
21,PC,1
22,PC,1
23,PC,1
24,PC,1
25,PC,1
26,PC,1
27,PC,1
28,PC,1
29,PC,1
30,PC,1
31,PC,1
32,PC,1
33,PC,1
34,PC,1
35,PC,1
36,PC,1
37,PC,1
38,PC,1
39,PC,1
40,PC,1
41,PC,1
42,PC,1
43,PC,1
44,PC,1
45,PC,1
46,PC,1
47,PC,1
48,PC,1
49,PC,1
50,PC,1
51,PC,0
52,PC,0
53,PC,0
54,PC,0
55,PC,0
56,PC,0
57,PC,0
58,PC,0
59,PC,0
60,PC,0
61,PC,0
62,PC,0
63,PC,0
64,PC,0
65,PC,0
66,PC,0
67,PC,0
68,PC,0
69,PC,0
70,PC,0
71,PC,0
72,PC,0
73,PC,0
74,PC,0
75,PC,0
76,PC,0
77,PC,0
78,PC,0
79,PC,0
80,PC,0
81,PC,0
82,PC,0
83,PC,0
84,PC,0
85,PC,0
86,PC,0
87,PC,0
88,PC,0
89,PC,0
90,PC,0
91,PC,0
92,PC,0
93,PC,0
94,PC,0
95,PC,0
96,PC,0
97,PC,0
98,PC,0
99,PC,0
100,PC,0
101,Mobile,1
102,Mobile,1
103,Mobile,1
104,Mobile,1
105,Mobile,1
106,Mobile,1
107,Mobile,1
108,Mobile,1
109,Mobile,1
110,Mobile,1
111,Mobile,1
112,Mobile,1
113,Mobile,1
114,Mobile,1
115,Mobile,1
116,Mobile,1
117,Mobile,1
118,Mobile,1
119,Mobile,1
120,Mobile,1
121,Mobile,1
122,Mobile,1
123,Mobile,1
124,Mobile,1
125,Mobile,1
126,Mobile,1
127,Mobile,1
128,Mobile,1
129,Mobile,1
130,Mobile,1
131,Mobile,1
132,Mobile,1
133,Mobile,1
134,Mobile,1
135,Mobile,1
136,Mobile,1
137,Mobile,1
138,Mobile,1
139,Mobile,1
140,Mobile,1
141,Mobile,1
142,Mobile,1
143,Mobile,1
144,Mobile,1
145,Mobile,1
146,Mobile,1
147,Mobile,1
148,Mobile,1
149,Mobile,1
150,Mobile,1
151,Mobile,0
152,Mobile,0
153,Mobile,0
154,Mobile,0
155,Mobile,0
156,Mobile,0
157,Mobile,0
158,Mobile,0
159,Mobile,0
160,Mobile,0
161,Mobile,0
162,Mobile,0
163,Mobile,0
164,Mobile,0
165,Mobile,0
166,Mobile,0
167,Mobile,0
168,Mobile,0
169,Mobile,0
170,Mobile,0
171,Mobile,0
172,Mobile,0
173,Mobile,0
174,Mobile,0
175,Mobile,0
176,Mobile,0
177,Mobile,0
178,Mobile,0
179,Mobile,0
180,Mobile,0
181,Mobile,0
182,Mobile,0
183,Mobile,0
184,Mobile,0
185,Mobile,0
186,Mobile,0
187,Mobile,0
188,Mobile,0
189,Mobile,0
190,Mobile,0
191,Mobile,0
192,Mobile,0
193,Mobile,0
194,Mobile,0
195,Mobile,0
196,Mobile,0
197,Mobile,0
198,Mobile,0
199,Mobile,0
200,Mobile,0
201,PC,1
202,PC,1
203,PC,1
204,PC,1
205,PC,1
206,PC,1
207,PC,1
208,PC,1
209,PC,1
210,PC,1
211,PC,0
212,PC,0
213,PC,0
214,PC,0
215,PC,0
216,PC,0
217,PC,0
218,PC,0
219,PC,0
220,PC,0
221,Mobile,1
222,Mobile,1
223,Mobile,1
224,Mobile,1
225,Mobile,1
226,Mobile,1
227,Mobile,1
228,Mobile,1
229,Mobile,1
230,Mobile,1
231,Mobile,0
232,Mobile,0
233,Mobile,0
234,Mobile,0
235,Mobile,0
236,Mobile,0
237,Mobile,0
238,Mobile,0
239,Mobile,0
240,Mobile,0
